indice_tiempo,idempresa,cuit,empresa,direccion,localidad,provincia,region,idproducto,producto,idtipohorario,tipohorario,precio,fecha_vigencia,idempresabandera,empresabandera,latitud,longitud,geojson
2024-07,257,20-11932739-4,"OLIVA, JORGE CARLOS",Maipú y Malvinas 0,CANALS,CORDOBA,CENTRO,19,Gas Oil Grado 2,3,Nocturno,1226.0,2024-07-03 13:43:00,1,BLANCA,-33.559373,-62.875148,"{""type"":""Point"",""coordinates"":[-62.875148,-33.559373]}"
2024-12,2980,30-66507435-4,BARBERO HERMANOS S.A.,RUTA 41 KM. 265,GRAL. BELGRANO,BUENOS AIRES,PAMPEANA,6,GNC,2,Diurno,779.0,2024-12-31 23:55:00,2,YPF,-35.774059,-58.50669,"{""type"":""Point"",""coordinates"":[-58.50669,-35.774059]}"
2024-03,1396,30-70863366-2,PETROEX S.A.,COLOMBIA 440 Y PELLEGRINI,TRELEW,CHUBUT,PATAGONIA,21,Gas Oil Grado 3,2,Diurno,1260.0,2024-03-31 21:54:00,1,BLANCA,-43.249086,-65.314583,"{""type"":""Point"",""coordinates"":[-65.314583,-43.249086]}"
2024-11,4213,30-68449078-4,LA COLONIA S.A.,RUTA PROV. 7 -ACCESO 2DA. ROTONDA,CENTENARIO,NEUQUEN,PATAGONIA,19,Gas Oil Grado 2,2,Diurno,1228.0,2024-11-01 16:04:00,4,SHELL C.A.P.S.A.,-38.828466,-68.131639,"{""type"":""Point"",""coordinates"":[-68.131639,-38.828466]}"
2024-05,10112,30-70913561-5,CENTRO DE SERVICIOS DIAGONAL S.A.,AV. EJERCITO DEL NORTE 2695,SAN MIGUEL DE TUCUMAN,TUCUMAN,,3,Nafta (premium) de más de 95 Ron,2,Diurno,1166.0,2024-05-02 09:59:00,8,REFINOR,-26.789624,-65.222661,"{""type"":""Point"",""coordinates"":[-65.222661,-26.789624]}"
2024-11,3134,30-69592276-7,G.N.C. CAFER S.A.,RUTA 3 KM. 596,CNEL. DORREGO,BUENOS AIRES,PAMPEANA,6,GNC,3,Nocturno,720.0,2024-11-06 06:00:00,1,BLANCA,-38.745403,-61.305948,"{""type"":""Point"",""coordinates"":[-61.305948,-38.745403]}"
2024-02,8783,30-71471126-8,ESQUINA KAIKEN S.A.,ACC.GRAL PINTO Y PADRE MARTINET,GRAL. PINTO,BUENOS AIRES,PAMPEANA,21,Gas Oil Grado 3,2,Diurno,1059.0,2024-02-01 19:51:00,1,BLANCA,-34.79318,-61.89187,"{""type"":""Point"",""coordinates"":[-61.89187,-34.79318]}"
2024-05,1641,30-69830916-0,MARAPE SA,RUTA NAC 11 Y RUTA PROV 4 566,NELSON,SANTA FE,CENTRO,21,Gas Oil Grado 3,2,Diurno,1257.0,2024-05-03 09:31:00,28,PUMA,-31.282443,-60.75919,"{""type"":""Point"",""coordinates"":[-60.75919,-31.282443]}"
2024-08,6062,30-64189846-1,SOCIEDAD DE IMPORTACIONES TECNICAS S.R.L.,AV. LA VOZ DEL INTERIOR 8351,CORDOBA,CORDOBA,CENTRO,6,GNC,2,Diurno,594.0,2024-08-01 10:23:00,4,SHELL C.A.P.S.A.,-31.330719,-64.21054,"{""type"":""Point"",""coordinates"":[-64.21054,-31.330719]}"
2024-05,4843,30-67533473-7,CONSTRUCTORA GAMA S.A.,Avda Ejercito del Norte 2674,SAN MIGUEL DE TUCUMAN,TUCUMAN,CUYO,6,GNC,2,Diurno,525.8,2024-05-09 09:32:00,8,REFINOR,-26.789624,-65.222661,"{""type"":""Point"",""coordinates"":[-65.222661,-26.789624]}"
2024-11,2601,30-64685085-8,ARIES COMCO,AV. ALVEAR ESTE 1342,GRAL. ALVEAR,MENDOZA,CUYO,6,GNC,3,Nocturno,667.0,2024-11-09 14:10:00,1,BLANCA,-34.977646,-67.673676,"{""type"":""Point"",""coordinates"":[-67.673676,-34.977646]}"
2024-10,7143,30-70007828-7,SERVISUR S.R.L.,AV. POLONIA 2370,SALTA,SALTA,NOA,3,Nafta (premium) de más de 95 Ron,2,Diurno,1319.0,2024-10-02 23:00:00,2,YPF,-24.81867,-65.41089,"{""type"":""Point"",""coordinates"":[-65.41089,-24.81867]}"
2024-11,7339,33-71066432-9,CONAFE S.R.L.,AV.ALBERDI 399,ROSARIO,SANTA FE,CENTRO,19,Gas Oil Grado 2,2,Diurno,1236.0,2024-11-01 09:10:00,4,SHELL C.A.P.S.A.,-32.923697,-60.679156,"{""type"":""Point"",""coordinates"":[-60.679156,-32.923697]}"
2024-03,9805,30-66196952-7,DUNCUE SRL,JUAN DE GARAY 1483,DON TORCUATO,BUENOS AIRES,,21,Gas Oil Grado 3,2,Diurno,1192.0,2024-03-10 11:31:00,26,AXION,-34.486592,-58.617543,"{""type"":""Point"",""coordinates"":[-58.617543,-34.486592]}"
2024-04,6105,30-70848992-8,NORGAS S.R.L.,AV. J.B. ANDRIANO Y RUTA NACIONAL Nº 34,TARTAGAL,SALTA,NOA,6,GNC,3,Nocturno,570.0,2024-04-12 19:04:00,8,REFINOR,-22.54182,-63.80293,"{""type"":""Point"",""coordinates"":[-63.80293,-22.54182]}"
2024-11,10290,30-67246366-8,BEIRUT SA,RUTA NACIONAL 12 KM 1551,EL DORADO,MISIONES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1188.0,2024-11-01 14:30:00,4,SHELL C.A.P.S.A.,-26.33881,-54.6179,"{""type"":""Point"",""coordinates"":[-54.6179,-26.33881]}"
2024-11,9572,30-68449078-4,LA COLONIA S.A.,AV. CONQUISTADORES DEL DESIERTO 5874 Y ALFALFA 0,NEUQUEN,NEUQUEN,,3,Nafta (premium) de más de 95 Ron,2,Diurno,1193.0,2024-11-01 16:29:00,4,SHELL C.A.P.S.A.,-38.912813,-68.138079,"{""type"":""Point"",""coordinates"":[-68.138079,-38.912813]}"
2024-09,2565,20-06301487-8,TARDIVO MARIO ERNESTO,MARIANO MORENO (OESTE) Nº 60,HUMBERTO PRIMO,SANTA FE,CENTRO,19,Gas Oil Grado 2,3,Nocturno,1208.0,2024-09-02 08:56:00,4,SHELL C.A.P.S.A.,-30.866957,-61.348432,"{""type"":""Point"",""coordinates"":[-61.348432,-30.866957]}"
2024-11,7859,30-71119491-2,CARLOS A. BIGATTI Y JORGE D. BIGATTI S.H.,AV. SAN MARTIN 707,GDOR. MANSILLA,ENTRE RIOS,CENTRO,21,Gas Oil Grado 3,2,Diurno,1479.0,2024-11-30 23:34:00,1,BLANCA,-32.54654,-59.35295,"{""type"":""Point"",""coordinates"":[-59.35295,-32.54654]}"
2024-11,10776,20-21799374-2,LLORENS DIP IVAN RICARDO,FRANCIA Y E.PADILLA 389,CONCEPCION,TUCUMAN,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1123.0,2024-11-12 21:10:00,1,BLANCA,-27.349846,-65.591978,"{""type"":""Point"",""coordinates"":[-65.591978,-27.349846]}"
2024-12,10609,30-71753564-9,NIMUR S.R.L.,Sarmiento 1684,ROSARIO,SANTA FE,,6,GNC,2,Diurno,609.0,2024-12-06 16:24:00,28,PUMA,-32.957065,-60.640697,"{""type"":""Point"",""coordinates"":[-60.640697,-32.957065]}"
2024-06,11017,30-71751800-0,ENERGY GAS AND OIL S.A.,Ruta 3 Km 104,SAN MIGUEL DEL MONTE,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,999.0,2024-06-19 11:39:00,28,PUMA,-35.38862,-58.80912,"{""type"":""Point"",""coordinates"":[-58.80912,-35.38862]}"
2024-02,3580,30-51618667-0,DEHEZA S.A.I.C.F.I,AV LIBERTADOR 15301,ACASSUSO,BUENOS AIRES,PAMPEANA,21,Gas Oil Grado 3,2,Diurno,1063.0,2024-02-01 06:00:00,4,SHELL C.A.P.S.A.,-34.4741213741992,-58.5018963924319,"{""type"":""Point"",""coordinates"":[-58.5018963924319,-34.4741213741992]}"
2024-09,3805,30-66483540-8,OSCAR EMILIO BARRAZA S.R.L.,LAS HERAS 525,GRAL. LA MADRID,BUENOS AIRES,PAMPEANA,21,Gas Oil Grado 3,2,Diurno,1416.0,2024-09-03 18:31:00,26,AXION,-37.24601,-61.263834,"{""type"":""Point"",""coordinates"":[-61.263834,-37.24601]}"
2024-08,6821,30-70898536-4,PETRO OESTE GNC SRL,AV RIVADAVIA 12300,CIUDADELA,BUENOS AIRES,PAMPEANA,6,GNC,3,Nocturno,439.0,2024-08-10 14:00:00,2,YPF,-34.64011,-58.5371,"{""type"":""Point"",""coordinates"":[-58.5371,-34.64011]}"
2024-08,10844,30-71021764-1,SEGON SRL,RUTA NACIONAL 9 KM 1148,SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO,,6,GNC,3,Nocturno,679.0,2024-08-07 14:00:00,8,REFINOR,-27.764973,-64.359365,"{""type"":""Point"",""coordinates"":[-64.359365,-27.764973]}"
2024-10,9224,33-71570060-9,VENCUBE SRL,CHANETON 390,NEUQUEN,NEUQUEN,,3,Nafta (premium) de más de 95 Ron,2,Diurno,1137.0,2024-10-07 13:48:00,26,AXION,-38.95919,-68.07009,"{""type"":""Point"",""coordinates"":[-68.07009,-38.95919]}"
2024-12,7234,30-71051982-6,SANTA CATALINA S.R.L,Av. SANTA CATALINA 4992,POSADAS,MISIONES,NEA,21,Gas Oil Grado 3,3,Nocturno,1500.0,2024-12-03 11:18:00,6,DAPSA S.A.,-27.3928,-55.912739,"{""type"":""Point"",""coordinates"":[-55.912739,-27.3928]}"
2024-05,7211,30-52571862-6,AGRICULTORES FEDERADOS ARGENTINOS S.C.L.,Bv. Colon 1031,CASILDA,SANTA FE,CENTRO,21,Gas Oil Grado 3,3,Nocturno,1143.0,2024-05-02 17:02:00,1,BLANCA,-33.04862,-61.14762,"{""type"":""Point"",""coordinates"":[-61.14762,-33.04862]}"
2024-07,7363,30-70783721-3,BC COMBUSTIBLES SA,CALLE 21 N° 960 Y RUTA NAC. 11,AVELLANEDA,SANTA FE,CENTRO,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1057.0,2024-07-11 09:14:00,1,BLANCA,-29.12403,-59.65367,"{""type"":""Point"",""coordinates"":[-59.65367,-29.12403]}"
2024-11,6172,30-68449078-4,LA COLONIA S.A.,BELGRANO Y LAS HERAS,NEUQUEN,NEUQUEN,PATAGONIA,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,962.0,2024-11-01 16:04:00,4,SHELL C.A.P.S.A.,-38.950873,-68.074734,"{""type"":""Point"",""coordinates"":[-68.074734,-38.950873]}"
2024-12,9057,30-63198203-0,MAR SAN S.R.L,Dr. Ortega 1650 (o),RAWSON,SAN JUAN,,6,GNC,3,Nocturno,593.0,2024-12-16 14:00:00,28,PUMA,-31.571063,-68.559812,"{""type"":""Point"",""coordinates"":[-68.559812,-31.571063]}"
2024-09,9073,30-70284869-1,RED GAS S.A.,AV. LOS QUILMES 99,BERNAL,BUENOS AIRES,,6,GNC,3,Nocturno,499.0,2024-09-07 08:00:00,1,BLANCA,-34.727177,-58.300538,"{""type"":""Point"",""coordinates"":[-58.300538,-34.727177]}"
2024-06,8016,30-71088189-4,GYG SOCIEDAD ANONIMA,AV. INDEPENDENCIA 4311,CORRIENTES,CORRIENTES,NEA,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1286.0,2024-06-01 09:41:00,28,PUMA,-27.4808,-58.79913,"{""type"":""Point"",""coordinates"":[-58.79913,-27.4808]}"
2024-11,8265,30-71206369-2,SERVICENTRO LOS REMEROS S.R.L,Agustin M. Garcia 7454,TIGRE,BUENOS AIRES,PAMPEANA,19,Gas Oil Grado 2,2,Diurno,1162.0,2024-11-01 12:56:00,4,SHELL C.A.P.S.A.,-34.399189,-58.64639,"{""type"":""Point"",""coordinates"":[-58.64639,-34.399189]}"
2024-07,1810,30-52591284-8,SERVICENTRO CARASA,SAN MARTIN 3502,ROSARIO,SANTA FE,CENTRO,19,Gas Oil Grado 2,2,Diurno,1199.0,2024-07-06 20:48:00,26,AXION,-32.978438,-60.644465,"{""type"":""Point"",""coordinates"":[-60.644465,-32.978438]}"
2024-09,1531,30-59051417-5,GABISERV SA,INOCENCIO ARIAS 3199,CASTELAR,BUENOS AIRES,PAMPEANA,19,Gas Oil Grado 2,2,Diurno,1201.0,2024-09-05 08:44:00,26,AXION,-34.64919,-58.65322,"{""type"":""Point"",""coordinates"":[-58.65322,-34.64919]}"
2024-06,10054,30-71088189-4,GYG SOCIEDAD ANONIMA,AV. PIRAGINE Y RUTA NAC 12,EMPEDRADO,CORRIENTES,,3,Nafta (premium) de más de 95 Ron,2,Diurno,1310.0,2024-06-01 09:47:00,1,BLANCA,-27.943868,-58.791877,"{""type"":""Point"",""coordinates"":[-58.791877,-27.943868]}"
2024-05,10187,30-52571862-6,AGRICULTORES FEDERADOS ARGENTINOS S.C.L.,RUTA PCIAL. 92 KM 28,AREQUITO,SANTA FE,,21,Gas Oil Grado 3,3,Nocturno,1143.0,2024-05-02 17:05:00,1,BLANCA,-33.14235,-61.46716,"{""type"":""Point"",""coordinates"":[-61.46716,-33.14235]}"
2024-09,3342,30-54087659-9,MENCHINI HNOS. S.A.,AV LAFINUR 890,SAN LUIS,SAN LUIS,CUYO,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1150.0,2024-09-05 09:07:00,4,SHELL C.A.P.S.A.,-33.301476,-66.346793,"{""type"":""Point"",""coordinates"":[-66.346793,-33.301476]}"
2024-11,6172,30-68449078-4,LA COLONIA S.A.,BELGRANO Y LAS HERAS,NEUQUEN,NEUQUEN,PATAGONIA,19,Gas Oil Grado 2,2,Diurno,1228.0,2024-11-01 16:04:00,4,SHELL C.A.P.S.A.,-38.950873,-68.074734,"{""type"":""Point"",""coordinates"":[-68.074734,-38.950873]}"
2024-11,6727,30-68449078-4,LA COLONIA S.A.,MENDOZA 1401 Y 9 DE JULIO,GRAL. ROCA,RIO NEGRO,PATAGONIA,3,Nafta (premium) de más de 95 Ron,2,Diurno,1149.0,2024-11-01 16:19:00,4,SHELL C.A.P.S.A.,-39.030734,-67.564417,"{""type"":""Point"",""coordinates"":[-67.564417,-39.030734]}"
2024-10,6015,30-70820791-4,EE. SS. EL SAUCE S. R. L.,Fray Justo Santamería de Oro 719 Norte,SAN JUAN,SAN JUAN,CUYO,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1109.0,2024-10-09 12:18:00,28,PUMA,-31.52039,-68.56756,"{""type"":""Point"",""coordinates"":[-68.56756,-31.52039]}"
2024-09,7834,30-61498725-8,EMPRESA BATAN S.A.,AV. JUAN B. JUSTO 7400 Y AV. ARTURO ALIO 3655,MAR DEL PLATA,BUENOS AIRES,PAMPEANA,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1424.0,2024-09-02 13:28:00,29,GULF,-37.99028,-57.6079,"{""type"":""Point"",""coordinates"":[-57.6079,-37.99028]}"
2024-12,7129,30-71042338-1,OLNI COMBUSTIBLES S.A.,ALSINA Y ACC.RUTA 33,CARHUE,BUENOS AIRES,PAMPEANA,3,Nafta (premium) de más de 95 Ron,2,Diurno,1499.0,2024-12-01 13:40:00,4,SHELL C.A.P.S.A.,-37.17206,-62.74465,"{""type"":""Point"",""coordinates"":[-62.74465,-37.17206]}"
2024-12,703,30-61490424-7,EL MIRADOR S.R.L.,GALARZA 1224,CONCEPCION DEL URUGUAY,ENTRE RIOS,CENTRO,6,GNC,2,Diurno,641.0,2024-12-02 18:31:00,4,SHELL C.A.P.S.A.,-32.48535,-58.241402,"{""type"":""Point"",""coordinates"":[-58.241402,-32.48535]}"
2024-07,2967,27-03419318-0,ROSARIO ELENA SICA,CHILE 702,CAPITAL FEDERAL,CAPITAL FEDERAL,PAMPEANA,21,Gas Oil Grado 3,2,Diurno,1295.0,2024-07-01 10:43:00,1,BLANCA,-34.616298,-58.37617,"{""type"":""Point"",""coordinates"":[-58.37617,-34.616298]}"
2024-12,2511,30-64799108-0,TREBEJO S.A.,MITRE 1479,ROSARIO,SANTA FE,CENTRO,6,GNC,2,Diurno,609.0,2024-12-17 13:23:00,1,BLANCA,-32.95468,-60.641512,"{""type"":""Point"",""coordinates"":[-60.641512,-32.95468]}"
2024-11,9946,30-71591788-9,ULTRA ONIX SRL,Av San Martïn Nº 1374,VILLA GOBERNADOR GALVEZ,SANTA FE,,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1419.0,2024-11-05 14:18:00,28,PUMA,-33.017719,-60.63266,"{""type"":""Point"",""coordinates"":[-60.63266,-33.017719]}"
2024-06,6339,20-07969628-6,PAVONE LUIS ANGEL,AV. FUERZA AEREA 3735,CORDOBA,CORDOBA,CENTRO,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1257.0,2024-06-03 22:00:00,28,PUMA,-31.43233,-64.23708,"{""type"":""Point"",""coordinates"":[-64.23708,-31.43233]}"
2024-11,5157,27-05672836-3,ROSA JUANA CROCCI DE GILIBERTI,AV. GRAL. PAZ Y RUTA 30,RAUCH,BUENOS AIRES,PAMPEANA,19,Gas Oil Grado 2,2,Diurno,1233.0,2024-11-07 16:35:00,4,SHELL C.A.P.S.A.,-36.776474,-59.076512,"{""type"":""Point"",""coordinates"":[-59.076512,-36.776474]}"
2024-06,1368,30-56845950-0,KUKE S.R.L.,AV DIRECTORIO 1796,CAPITAL FEDERAL,CAPITAL FEDERAL,PAMPEANA,3,Nafta (premium) de más de 95 Ron,2,Diurno,1190.0,2024-06-01 10:56:00,26,AXION,-34.63119,-58.4529,"{""type"":""Point"",""coordinates"":[-58.4529,-34.63119]}"
2024-11,5445,20-10930091-9,JUAN FELIPE PRENNA,ROQUE S. PEÑA KM 611,OLIVA,CORDOBA,CENTRO,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1199.0,2024-11-01 10:19:00,4,SHELL C.A.P.S.A.,-32.039467,-63.571717,"{""type"":""Point"",""coordinates"":[-63.571717,-32.039467]}"
2024-05,1641,30-69830916-0,MARAPE SA,RUTA NAC 11 Y RUTA PROV 4 566,NELSON,SANTA FE,CENTRO,19,Gas Oil Grado 2,3,Nocturno,1077.0,2024-05-02 09:31:00,28,PUMA,-31.282443,-60.75919,"{""type"":""Point"",""coordinates"":[-60.75919,-31.282443]}"
2024-12,8564,30-71122574-5,TOTALGNC SRL,Cno. Centenario 785,VILLA ELISA,BUENOS AIRES,PAMPEANA,21,Gas Oil Grado 3,2,Diurno,1470.0,2024-12-26 15:45:00,26,AXION,-34.855344,-58.074867,"{""type"":""Point"",""coordinates"":[-58.074867,-34.855344]}"
2024-11,454,30-58771013-3,CARLOS LORENZO TISOCCO Y CIA. S.R.L.,Avda. Leandro N. Alem 2000,CHAJARI,ENTRE RIOS,CENTRO,21,Gas Oil Grado 3,3,Nocturno,1435.0,2024-11-01 18:01:00,4,SHELL C.A.P.S.A.,-30.760931,-57.997352,"{""type"":""Point"",""coordinates"":[-57.997352,-30.760931]}"
2024-11,3364,20-14477969-0,PATTERSON PEDRO ISMAEL,SENADOR MORON 2375,BELLA VISTA,BUENOS AIRES,PAMPEANA,6,GNC,2,Diurno,579.0,2024-11-12 14:48:00,4,SHELL C.A.P.S.A.,-34.57277,-58.69191,"{""type"":""Point"",""coordinates"":[-58.69191,-34.57277]}"
2024-08,2054,30-68498803-0,NUEVOS EMPRENDIMIENTOS S.R.L.,AV. EVA PERON 4350,CAPITAL FEDERAL,CAPITAL FEDERAL,PAMPEANA,6,GNC,2,Diurno,399.9,2024-08-22 10:32:00,26,AXION,-34.653138,-58.473356,"{""type"":""Point"",""coordinates"":[-58.473356,-34.653138]}"
2024-04,7550,30-70317110-5,CONCORD GAS S.A.,TROPERO SOSA 1290,MAIPU,MENDOZA,CUYO,6,GNC,2,Diurno,449.0,2024-04-09 17:01:00,1,BLANCA,-32.988799,-68.772644,"{""type"":""Point"",""coordinates"":[-68.772644,-32.988799]}"
2024-07,10190,30-70783721-3,BC COMBUSTIBLES S.A.,HABEGGER 799 (ESQUINA BELGRANO),RECONQUISTA,SANTA FE,,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1278.0,2024-07-01 09:18:00,1,BLANCA,-29.146221,-59.646172,"{""type"":""Point"",""coordinates"":[-59.646172,-29.146221]}"
2024-01,7064,30-70705453-7,COMBUSTIBLES DEL CHACO SRL,RUTA 16 KM. 492,TACO POZO,CHACO,NEA,19,Gas Oil Grado 2,3,Nocturno,879.0,2024-01-08 21:03:00,1,BLANCA,-25.619927,-63.271582,"{""type"":""Point"",""coordinates"":[-63.271582,-25.619927]}"
2024-03,6191,20-22562563-9,SENA HUMBERTO FABRICIO,AV 11 DE SETIEMBRE 2910,CORDOBA,CORDOBA,CENTRO,21,Gas Oil Grado 3,3,Nocturno,1127.0,2024-03-04 17:23:00,1,BLANCA,-31.4455575678327,-64.1486483205168,"{""type"":""Point"",""coordinates"":[-64.1486483205168,-31.4455575678327]}"
2024-10,7143,30-70007828-7,SERVISUR S.R.L.,AV. POLONIA 2370,SALTA,SALTA,NOA,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1095.0,2024-10-02 23:00:00,2,YPF,-24.81867,-65.41089,"{""type"":""Point"",""coordinates"":[-65.41089,-24.81867]}"
2024-06,6339,20-07969628-6,PAVONE LUIS ANGEL,AV. FUERZA AEREA 3735,CORDOBA,CORDOBA,CENTRO,6,GNC,2,Diurno,539.0,2024-06-25 13:59:00,28,PUMA,-31.43233,-64.23708,"{""type"":""Point"",""coordinates"":[-64.23708,-31.43233]}"
2024-12,9475,30-71113377-8,BENZIN S.R.L.,AV. BERNARDO O´HIGGINS 5375,CORDOBA,CORDOBA,,19,Gas Oil Grado 2,3,Nocturno,1299.0,2024-12-02 19:35:00,26,AXION,-31.474566,-64.168404,"{""type"":""Point"",""coordinates"":[-64.168404,-31.474566]}"
2024-06,8016,30-71088189-4,GYG SOCIEDAD ANONIMA,AV. INDEPENDENCIA 4311,CORRIENTES,CORRIENTES,NEA,3,Nafta (premium) de más de 95 Ron,2,Diurno,1286.0,2024-06-01 09:41:00,28,PUMA,-27.4808,-58.79913,"{""type"":""Point"",""coordinates"":[-58.79913,-27.4808]}"
2024-12,7612,27-14944256-7,AMBROSETTTO SANDRA RAQUEL,Ruta 251 Km 119,GRAL. CONESA,RIO NEGRO,PATAGONIA,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1226.0,2024-12-03 11:06:00,26,AXION,-40.10394,-64.47351,"{""type"":""Point"",""coordinates"":[-64.47351,-40.10394]}"
2024-04,9732,33-71065684-9,PETRANOR SRL,Bicentenario de la Batalla de Salta N°522,SALTA,SALTA,,19,Gas Oil Grado 2,2,Diurno,1030.0,2024-04-02 07:00:00,8,REFINOR,-24.78402,-65.40272,"{""type"":""Point"",""coordinates"":[-65.40272,-24.78402]}"
2024-11,7786,30-71205709-9,VIPETROL S.A.,Ruta Nacional 205 Km 182.5,SALADILLO,BUENOS AIRES,PAMPEANA,3,Nafta (premium) de más de 95 Ron,2,Diurno,1544.0,2024-11-02 15:00:00,4,SHELL C.A.P.S.A.,-35.629154,-59.782673,"{""type"":""Point"",""coordinates"":[-59.782673,-35.629154]}"
2024-10,3650,30-68016375-4,MOSCONI S.R.L.,AV. MOSCONI 1015,LOMAS DEL MIRADOR,BUENOS AIRES,PAMPEANA,21,Gas Oil Grado 3,3,Nocturno,1381.0,2024-10-07 13:55:00,26,AXION,-34.663147,-58.538452,"{""type"":""Point"",""coordinates"":[-58.538452,-34.663147]}"
2024-06,1368,30-56845950-0,KUKE S.R.L.,AV DIRECTORIO 1796,CAPITAL FEDERAL,CAPITAL FEDERAL,PAMPEANA,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,989.0,2024-06-01 10:56:00,26,AXION,-34.63119,-58.4529,"{""type"":""Point"",""coordinates"":[-58.4529,-34.63119]}"
2024-10,8681,30-71429546-9,SERVICIOS LER SA,camino de la virgen maria 3085,TAPIALES,BUENOS AIRES,PAMPEANA,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1120.0,2024-10-07 13:51:00,26,AXION,-34.70903,-58.504607,"{""type"":""Point"",""coordinates"":[-58.504607,-34.70903]}"
